"Step","time_reasoning/combined_tasks_from_inferring_easy_dynamic_alpha - val/pred_reward_time_completion","time_reasoning/combined_tasks_from_inferring_easy_dynamic_alpha - val/pred_reward_time_completion__MIN","time_reasoning/combined_tasks_from_inferring_easy_dynamic_alpha - val/pred_reward_time_completion__MAX"
"0","0.21853782251414217","0.21853782251414217","0.21853782251414217"
"10","0.2417592490466142","0.2417592490466142","0.2417592490466142"
"20","0.25053846921660283","0.25053846921660283","0.25053846921660283"
"30","0.25426128849687657","0.25426128849687657","0.25426128849687657"
"40","0.24891314320019634","0.24891314320019634","0.24891314320019634"
"50","0.2542068899880442","0.2542068899880442","0.2542068899880442"
"60","0.28163826985366525","0.28163826985366525","0.28163826985366525"
"70","0.5114297221659746","0.5114297221659746","0.5114297221659746"
"80","0.5429544567049394","0.5429544567049394","0.5429544567049394"
"90","0.5303349718807218","0.5303349718807218","0.5303349718807218"
"100","0.5395088313001436","0.5395088313001436","0.5395088313001436"
"110","0.5412381068816683","0.5412381068816683","0.5412381068816683"
"120","0.5550174327922006","0.5550174327922006","0.5550174327922006"
"130","0.5824703490553962","0.5824703490553962","0.5824703490553962"
"140","0.5687281434302989","0.5687281434302989","0.5687281434302989"
"150","0.5765170060416611","0.5765170060416611","0.5765170060416611"
"160","0.5766705446324898","0.5766705446324898","0.5766705446324898"
"170","0.5626555950082112","0.5626555950082112","0.5626555950082112"
"180","0.5760826818501104","0.5760826818501104","0.5760826818501104"
"190","0.5773622037290194","0.5773622037290194","0.5773622037290194"
"200","0.5624646314620441","0.5624646314620441","0.5624646314620441"
"210","0.5744028428073369","0.5744028428073369","0.5744028428073369"
"220","0.5692599534573058","0.5692599534573058","0.5692599534573058"
"230","0.5675700231191437","0.5675700231191437","0.5675700231191437"
"240","0.5772820119640929","0.5772820119640929","0.5772820119640929"
"250","0.574851843050872","0.574851843050872","0.574851843050872"
"260","0.5679671125945145","0.5679671125945145","0.5679671125945145"
"270","0.587053845932641","0.587053845932641","0.587053845932641"
"280","0.5753773368530027","0.5753773368530027","0.5753773368530027"
"290","0.5894619789906648","0.5894619789906648","0.5894619789906648"
"300","0.5876149802101485","0.5876149802101485","0.5876149802101485"
"310","0.5859008753258287","0.5859008753258287","0.5859008753258287"
"320","0.5867720411411332","0.5867720411411332","0.5867720411411332"
"330","0.5919694718628202","0.5919694718628202","0.5919694718628202"
"340","0.5952670518430414","0.5952670518430414","0.5952670518430414"
"350","0.5985179386019598","0.5985179386019598","0.5985179386019598"
"360","0.5936888315458626","0.5936888315458626","0.5936888315458626"
"370","0.5986983956980169","0.5986983956980169","0.5986983956980169"
"380","0.5970526432569044","0.5970526432569044","0.5970526432569044"
"390","0.5907385043647436","0.5907385043647436","0.5907385043647436"
"400","0.5762291081994187","0.5762291081994187","0.5762291081994187"
"410","0.5733933341510462","0.5733933341510462","0.5733933341510462"
"420","0.5931988753948068","0.5931988753948068","0.5931988753948068"
"430","0.6054542370017941","0.6054542370017941","0.6054542370017941"
"440","0.5998771926499484","0.5998771926499484","0.5998771926499484"
"450","0.5916213808856222","0.5916213808856222","0.5916213808856222"
"460","0.6113347635907999","0.6113347635907999","0.6113347635907999"