"Step","time_reasoning/combined_tasks_from_inferring_easy_dynamic_alpha - val/pred_reward_time_difference","time_reasoning/combined_tasks_from_inferring_easy_dynamic_alpha - val/pred_reward_time_difference__MIN","time_reasoning/combined_tasks_from_inferring_easy_dynamic_alpha - val/pred_reward_time_difference__MAX"
"0","0.18986049613239805","0.18986049613239805","0.18986049613239805"
"10","0.2125328615228948","0.2125328615228948","0.2125328615228948"
"20","0.24393695701967158","0.24393695701967158","0.24393695701967158"
"30","0.2516964176435203","0.2516964176435203","0.2516964176435203"
"40","0.25342577826032237","0.25342577826032237","0.25342577826032237"
"50","0.2627369375185188","0.2627369375185188","0.2627369375185188"
"60","0.2686195328155194","0.2686195328155194","0.2686195328155194"
"70","0.27241749868871756","0.27241749868871756","0.27241749868871756"
"80","0.2782238986747444","0.2782238986747444","0.2782238986747444"
"90","0.28777127492391774","0.28777127492391774","0.28777127492391774"
"100","0.26067014247517595","0.26067014247517595","0.26067014247517595"
"110","0.2894005926736908","0.2894005926736908","0.2894005926736908"
"120","0.29130638638295225","0.29130638638295225","0.29130638638295225"
"130","0.29263325092473447","0.29263325092473447","0.29263325092473447"
"140","0.29073558181559045","0.29073558181559045","0.29073558181559045"
"150","0.29112508337107945","0.29112508337107945","0.29112508337107945"
"160","0.29832599324925724","0.29832599324925724","0.29832599324925724"
"170","0.297224915789179","0.297224915789179","0.297224915789179"
"180","0.2940457038811554","0.2940457038811554","0.2940457038811554"
"190","0.3049437228783576","0.3049437228783576","0.3049437228783576"
"200","0.3019711917065646","0.3019711917065646","0.3019711917065646"
"210","0.3091701008765843","0.3091701008765843","0.3091701008765843"
"220","0.3082713928435543","0.3082713928435543","0.3082713928435543"
"230","0.3098506476885837","0.3098506476885837","0.3098506476885837"
"240","0.3087744142428045","0.3087744142428045","0.3087744142428045"
"250","0.31422878497051854","0.31422878497051854","0.31422878497051854"
"260","0.3058539063321356","0.3058539063321356","0.3058539063321356"
"270","0.3097072593402982","0.3097072593402982","0.3097072593402982"
"280","0.30019342767806834","0.30019342767806834","0.30019342767806834"
"290","0.30396713853633045","0.30396713853633045","0.30396713853633045"
"300","0.3063648733588935","0.3063648733588935","0.3063648733588935"
"310","0.30912813578294857","0.30912813578294857","0.30912813578294857"
"320","0.30935285819916336","0.30935285819916336","0.30935285819916336"
"330","0.3103427383648118","0.3103427383648118","0.3103427383648118"
"340","0.31072265245558217","0.31072265245558217","0.31072265245558217"
"350","0.31139332821794874","0.31139332821794874","0.31139332821794874"
"360","0.3094254319352665","0.3094254319352665","0.3094254319352665"
"370","0.3132091600607396","0.3132091600607396","0.3132091600607396"
"380","0.3111933254201641","0.3111933254201641","0.3111933254201641"
"390","0.30921830913485027","0.30921830913485027","0.30921830913485027"
"400","0.31140741517161763","0.31140741517161763","0.31140741517161763"
"410","0.3101895783868768","0.3101895783868768","0.3101895783868768"
"420","0.3120902259576527","0.3120902259576527","0.3120902259576527"
"430","0.315073890861233","0.315073890861233","0.315073890861233"
"440","0.3128270770212379","0.3128270770212379","0.3128270770212379"
"450","0.31232294883473344","0.31232294883473344","0.31232294883473344"
"460","0.3143380307195267","0.3143380307195267","0.3143380307195267"