"Step","time_reasoning/combined_tasks_from_inferring_easy_alpha_0.1 - val/test_score_time_difference","time_reasoning/combined_tasks_from_inferring_easy_alpha_0.1 - val/test_score_time_difference__MIN","time_reasoning/combined_tasks_from_inferring_easy_alpha_0.1 - val/test_score_time_difference__MAX"
"0","0.2735583820613101","0.2735583820613101","0.2735583820613101"
"10","0.3165140355704352","0.3165140355704352","0.3165140355704352"
"20","0.3426955961913336","0.3426955961913336","0.3426955961913336"
"30","0.35595351876690984","0.35595351876690984","0.35595351876690984"
"40","0.3702830458933022","0.3702830458933022","0.3702830458933022"
"50","0.38108324515633285","0.38108324515633285","0.38108324515633285"
"60","0.3847571790975053","0.3847571790975053","0.3847571790975053"
"70","0.3697237480664626","0.3697237480664626","0.3697237480664626"
"80","0.3695165505632758","0.3695165505632758","0.3695165505632758"
"90","0.3786318617640063","0.3786318617640063","0.3786318617640063"
"100","0.3951211547246203","0.3951211547246203","0.3951211547246203"
"110","0.39214357640594244","0.39214357640594244","0.39214357640594244"
"120","0.393388641794445","0.393388641794445","0.393388641794445"
"130","0.392661980149569","0.392661980149569","0.392661980149569"
"140","0.4022659882903099","0.4022659882903099","0.4022659882903099"
"150","0.4005633332708385","0.4005633332708385","0.4005633332708385"
"160","0.39357546030078083","0.39357546030078083","0.39357546030078083"
"170","0.3852224509464577","0.3852224509464577","0.3852224509464577"
"180","0.39575106487609446","0.39575106487609446","0.39575106487609446"
"190","0.39633434967981884","0.39633434967981884","0.39633434967981884"
"200","0.39486180219682865","0.39486180219682865","0.39486180219682865"
"210","0.3873951269197278","0.3873951269197278","0.3873951269197278"
"220","0.3858192228653934","0.3858192228653934","0.3858192228653934"
"230","0.39375548530369997","0.39375548530369997","0.39375548530369997"
"240","0.39025200461037457","0.39025200461037457","0.39025200461037457"
"250","0.3886858010664582","0.3886858010664582","0.3886858010664582"
"260","0.3862840801884886","0.3862840801884886","0.3862840801884886"
"270","0.3950389888777863","0.3950389888777863","0.3950389888777863"
"280","0.39755005258484744","0.39755005258484744","0.39755005258484744"
"290","0.38740526587935165","0.38740526587935165","0.38740526587935165"
"300","0.38686958464677446","0.38686958464677446","0.38686958464677446"
"310","0.3928689328604378","0.3928689328604378","0.3928689328604378"
"320","0.390016255347291","0.390016255347291","0.390016255347291"
"330","0.39787584071746096","0.39787584071746096","0.39787584071746096"
"340","0.39697254754719324","0.39697254754719324","0.39697254754719324"
"350","0.3978806639497634","0.3978806639497634","0.3978806639497634"
"360","0.40380664507392794","0.40380664507392794","0.40380664507392794"
"370","0.4064534538483713","0.4064534538483713","0.4064534538483713"
"380","0.39670611047768034","0.39670611047768034","0.39670611047768034"
"390","0.3964837283419911","0.3964837283419911","0.3964837283419911"
"400","0.3961751530296169","0.3961751530296169","0.3961751530296169"
"410","0.3965822969330475","0.3965822969330475","0.3965822969330475"
"420","0.3923099050007295","0.3923099050007295","0.3923099050007295"
"430","0.39106739274575375","0.39106739274575375","0.39106739274575375"
"440","0.3937040108430665","0.3937040108430665","0.3937040108430665"
"450","0.3944214912771713","0.3944214912771713","0.3944214912771713"
"460","0.392469387530582","0.392469387530582","0.392469387530582"
"470","0.3991516586684156","0.3991516586684156","0.3991516586684156"
"480","0.3934229856240563","0.3934229856240563","0.3934229856240563"
"490","0.39477509443531744","0.39477509443531744","0.39477509443531744"
"500","0.3948698144231457","0.3948698144231457","0.3948698144231457"
"510","0.3924742729286663","0.3924742729286663","0.3924742729286663"
"520","0.39375900957384147","0.39375900957384147","0.39375900957384147"
"530","0.39210984550300054","0.39210984550300054","0.39210984550300054"
"540","0.39118445629719645","0.39118445629719645","0.39118445629719645"
"550","0.39657355519011617","0.39657355519011617","0.39657355519011617"
"560","0.395592606626451","0.395592606626451","0.395592606626451"
"570","0.39550527202663943","0.39550527202663943","0.39550527202663943"
"580","0.39301520492881536","0.39301520492881536","0.39301520492881536"
"590","0.39415881762397476","0.39415881762397476","0.39415881762397476"
"600","0.391957143554464","0.391957143554464","0.391957143554464"
"610","0.3943482601316646","0.3943482601316646","0.3943482601316646"
"620","0.3933741142100189","0.3933741142100189","0.3933741142100189"
"630","0.3948101974092424","0.3948101974092424","0.3948101974092424"
"640","0.3953080818464514","0.3953080818464514","0.3953080818464514"
"650","0.3963585451419931","0.3963585451419931","0.3963585451419931"
"660","0.3977355510869529","0.3977355510869529","0.3977355510869529"
"670","0.3952926831552759","0.3952926831552759","0.3952926831552759"
"680","0.39709816116373986","0.39709816116373986","0.39709816116373986"
"690","0.399724995077122","0.399724995077122","0.399724995077122"
"700","0.4050338021479547","0.4050338021479547","0.4050338021479547"
"710","0.4054018206661567","0.4054018206661567","0.4054018206661567"
"720","0.4041848396882415","0.4041848396882415","0.4041848396882415"
"730","0.40357180513092317","0.40357180513092317","0.40357180513092317"
"740","0.4025470183696598","0.4025470183696598","0.4025470183696598"
"750","0.4031915169907734","0.4031915169907734","0.4031915169907734"
"760","0.4026921624026727","0.4026921624026727","0.4026921624026727"
"770","0.4038153918227181","0.4038153918227181","0.4038153918227181"
"780","0.4034224982606247","0.4034224982606247","0.4034224982606247"
"790","0.40693287501926534","0.40693287501926534","0.40693287501926534"
"800","0.4042269299097825","0.4042269299097825","0.4042269299097825"
"810","0.4063520427735057","0.4063520427735057","0.4063520427735057"
"820","0.40700815367745236","0.40700815367745236","0.40700815367745236"
"830","0.4077944013697561","0.4077944013697561","0.4077944013697561"
"840","0.40752108342712745","0.40752108342712745","0.40752108342712745"