"Step","time_reasoning/combined_tasks_from_inferring_easy_dynamic_alpha - val/pred_reward_overall","time_reasoning/combined_tasks_from_inferring_easy_dynamic_alpha - val/pred_reward_overall__MIN","time_reasoning/combined_tasks_from_inferring_easy_dynamic_alpha - val/pred_reward_overall__MAX"
"0","0.2317843169966834","0.2317843169966834","0.2317843169966834"
"10","0.27359521427975253","0.27359521427975253","0.27359521427975253"
"20","0.31919675229408073","0.31919675229408073","0.31919675229408073"
"30","0.3246670167758343","0.3246670167758343","0.3246670167758343"
"40","0.33262685467580133","0.33262685467580133","0.33262685467580133"
"50","0.33597823677506","0.33597823677506","0.33597823677506"
"60","0.3435135935346284","0.3435135935346284","0.3435135935346284"
"70","0.40591684244578297","0.40591684244578297","0.40591684244578297"
"80","0.42323247270123776","0.42323247270123776","0.42323247270123776"
"90","0.41907097559395196","0.41907097559395196","0.41907097559395196"
"100","0.41568427450048995","0.41568427450048995","0.41568427450048995"
"110","0.4277657601356798","0.4277657601356798","0.4277657601356798"
"120","0.4308628280969409","0.4308628280969409","0.4308628280969409"
"130","0.4373633414125062","0.4373633414125062","0.4373633414125062"
"140","0.4393917807777585","0.4393917807777585","0.4393917807777585"
"150","0.4420306278872016","0.4420306278872016","0.4420306278872016"
"160","0.4427689535839394","0.4427689535839394","0.4427689535839394"
"170","0.44637432662339377","0.44637432662339377","0.44637432662339377"
"180","0.4484652549168372","0.4484652549168372","0.4484652549168372"
"190","0.4599862831785887","0.4599862831785887","0.4599862831785887"
"200","0.45257538192888097","0.45257538192888097","0.45257538192888097"
"210","0.4523150014257348","0.4523150014257348","0.4523150014257348"
"220","0.44795494233490885","0.44795494233490885","0.44795494233490885"
"230","0.4520910114810659","0.4520910114810659","0.4520910114810659"
"240","0.4550643537126962","0.4550643537126962","0.4550643537126962"
"250","0.45575435019896315","0.45575435019896315","0.45575435019896315"
"260","0.45511168092130755","0.45511168092130755","0.45511168092130755"
"270","0.4591864212337763","0.4591864212337763","0.4591864212337763"
"280","0.4538950616922883","0.4538950616922883","0.4538950616922883"
"290","0.4631799641341226","0.4631799641341226","0.4631799641341226"
"300","0.46396959013874595","0.46396959013874595","0.46396959013874595"
"310","0.46482513717726115","0.46482513717726115","0.46482513717726115"
"320","0.4697774585782568","0.4697774585782568","0.4697774585782568"
"330","0.4711741725226676","0.4711741725226676","0.4711741725226676"
"340","0.46745100200630696","0.46745100200630696","0.46745100200630696"
"350","0.4769838851161392","0.4769838851161392","0.4769838851161392"
"360","0.4739036584599145","0.4739036584599145","0.4739036584599145"
"370","0.47464116106372134","0.47464116106372134","0.47464116106372134"
"380","0.47238253712026923","0.47238253712026923","0.47238253712026923"
"390","0.4792645353364484","0.4792645353364484","0.4792645353364484"
"400","0.4679752220739426","0.4679752220739426","0.4679752220739426"
"410","0.4681601910141835","0.4681601910141835","0.4681601910141835"
"420","0.4742011972774834","0.4742011972774834","0.4742011972774834"
"430","0.4827590095800304","0.4827590095800304","0.4827590095800304"
"440","0.47609062623666365","0.47609062623666365","0.47609062623666365"
"450","0.4784100682635448","0.4784100682635448","0.4784100682635448"
"460","0.48237393194015754","0.48237393194015754","0.48237393194015754"