"Step","time_reasoning/combined_tasks_from_dynamic_alpha_increasing - val/pred_reward_time_difference","time_reasoning/combined_tasks_from_dynamic_alpha_increasing - val/pred_reward_time_difference__MIN","time_reasoning/combined_tasks_from_dynamic_alpha_increasing - val/pred_reward_time_difference__MAX"
"0","0.3101758427044349","0.3101758427044349","0.3101758427044349"
"10","0.3114588402671833","0.3114588402671833","0.3114588402671833"
"20","0.31231706816832117","0.31231706816832117","0.31231706816832117"
"30","0.31076617691122244","0.31076617691122244","0.31076617691122244"
"40","0.3060705102569366","0.3060705102569366","0.3060705102569366"
"50","0.3053198654010004","0.3053198654010004","0.3053198654010004"
"60","0.30828521207461956","0.30828521207461956","0.30828521207461956"
"70","0.3116204730480435","0.3116204730480435","0.3116204730480435"
"80","0.3009413901428448","0.3009413901428448","0.3009413901428448"
"90","0.3068913078317994","0.3068913078317994","0.3068913078317994"
"100","0.30216968346405226","0.30216968346405226","0.30216968346405226"
"110","0.30217820126343037","0.30217820126343037","0.30217820126343037"
"120","0.3103195680160826","0.3103195680160826","0.3103195680160826"
"130","0.31680244039664385","0.31680244039664385","0.31680244039664385"
"140","0.30888269652705835","0.30888269652705835","0.30888269652705835"
"150","0.31666145465089646","0.31666145465089646","0.31666145465089646"
"160","0.3161194142972159","0.3161194142972159","0.3161194142972159"
"170","0.3164132351039041","0.3164132351039041","0.3164132351039041"
"180","0.3115313508473413","0.3115313508473413","0.3115313508473413"
"190","0.3139288812140884","0.3139288812140884","0.3139288812140884"
"200","0.3076782321469814","0.3076782321469814","0.3076782321469814"
"210","0.30782172704506505","0.30782172704506505","0.30782172704506505"
"220","0.3041073284800564","0.3041073284800564","0.3041073284800564"
"230","0.30970945917368486","0.30970945917368486","0.30970945917368486"
"240","0.31120910930227863","0.31120910930227863","0.31120910930227863"
"250","0.30831093218257377","0.30831093218257377","0.30831093218257377"
"260","0.310229115898025","0.310229115898025","0.310229115898025"
"270","0.3126076275236753","0.3126076275236753","0.3126076275236753"
"280","0.30995130944192534","0.30995130944192534","0.30995130944192534"
"290","0.3135326220210497","0.3135326220210497","0.3135326220210497"
"300","0.31443327825722184","0.31443327825722184","0.31443327825722184"
"310","0.31582841957970886","0.31582841957970886","0.31582841957970886"
"320","0.31637873414576273","0.31637873414576273","0.31637873414576273"
"330","0.3136723935237773","0.3136723935237773","0.3136723935237773"
"340","0.3094344091332858","0.3094344091332858","0.3094344091332858"
"350","0.3143032741296698","0.3143032741296698","0.3143032741296698"
"360","0.3129692927671883","0.3129692927671883","0.3129692927671883"
"370","0.31808251836404766","0.31808251836404766","0.31808251836404766"
"380","0.3171828696476618","0.3171828696476618","0.3171828696476618"
"390","0.31545659552921973","0.31545659552921973","0.31545659552921973"
"400","0.31923380567136095","0.31923380567136095","0.31923380567136095"
"410","0.31901019311213485","0.31901019311213485","0.31901019311213485"
"420","0.31225366150345846","0.31225366150345846","0.31225366150345846"
"430","0.3134506050023842","0.3134506050023842","0.3134506050023842"
"440","0.31759027275128027","0.31759027275128027","0.31759027275128027"
"450","0.3189882464232522","0.3189882464232522","0.3189882464232522"
"460","0.3199941387089844","0.3199941387089844","0.3199941387089844"
"470","0.3175937111484627","0.3175937111484627","0.3175937111484627"
"480","0.32200662328363266","0.32200662328363266","0.32200662328363266"
"490","0.31334888844173236","0.31334888844173236","0.31334888844173236"
"500","0.31392459678747087","0.31392459678747087","0.31392459678747087"
"510","0.31624636354057956","0.31624636354057956","0.31624636354057956"
"520","0.31725777860058474","0.31725777860058474","0.31725777860058474"
"530","0.31683296270167016","0.31683296270167016","0.31683296270167016"
"540","0.319503359598756","0.319503359598756","0.319503359598756"
"550","0.3178337160378415","0.3178337160378415","0.3178337160378415"
"560","0.3174486038098113","0.3174486038098113","0.3174486038098113"
"570","0.3183653701380907","0.3183653701380907","0.3183653701380907"
"580","0.3169086532168275","0.3169086532168275","0.3169086532168275"
"590","0.31885794556257174","0.31885794556257174","0.31885794556257174"
"600","0.3195899478083372","0.3195899478083372","0.3195899478083372"
"610","0.31830527926255014","0.31830527926255014","0.31830527926255014"
"620","0.3173663694954294","0.3173663694954294","0.3173663694954294"
"630","0.32227745044858147","0.32227745044858147","0.32227745044858147"
"640","0.3212434448703938","0.3212434448703938","0.3212434448703938"
"650","0.31925630079911915","0.31925630079911915","0.31925630079911915"
"660","0.32057682200421833","0.32057682200421833","0.32057682200421833"
"670","0.32130665141800074","0.32130665141800074","0.32130665141800074"
"680","0.31390301181866564","0.31390301181866564","0.31390301181866564"
"690","0.31680682009166505","0.31680682009166505","0.31680682009166505"
"700","0.324052331407558","0.324052331407558","0.324052331407558"
"710","0.3206711748304889","0.3206711748304889","0.3206711748304889"
"720","0.31665259678410945","0.31665259678410945","0.31665259678410945"
"730","0.31500481879249737","0.31500481879249737","0.31500481879249737"
"740","0.31542204942735025","0.31542204942735025","0.31542204942735025"
"750","0.3148205043717695","0.3148205043717695","0.3148205043717695"
"760","0.3182483880276469","0.3182483880276469","0.3182483880276469"
"770","0.31977896096540726","0.31977896096540726","0.31977896096540726"
"780","0.31920439190555255","0.31920439190555255","0.31920439190555255"
"790","0.3179218728189789","0.3179218728189789","0.3179218728189789"
"800","0.3161360893098239","0.3161360893098239","0.3161360893098239"
"810","0.3154816496640085","0.3154816496640085","0.3154816496640085"
"820","0.31774180932306595","0.31774180932306595","0.31774180932306595"
"830","0.3225466489937955","0.3225466489937955","0.3225466489937955"
"840","0.32060486818295897","0.32060486818295897","0.32060486818295897"
"850","0.3204468442108608","0.3204468442108608","0.3204468442108608"
"860","0.32069624111201417","0.32069624111201417","0.32069624111201417"
"870","0.32037277536962905","0.32037277536962905","0.32037277536962905"
"880","0.3220648092953783","0.3220648092953783","0.3220648092953783"
"890","0.3212375131438573","0.3212375131438573","0.3212375131438573"
"900","0.320784666687581","0.320784666687581","0.320784666687581"
"910","0.32017785467749693","0.32017785467749693","0.32017785467749693"
"920","0.3189448381610326","0.3189448381610326","0.3189448381610326"
"930","0.31917544030605494","0.31917544030605494","0.31917544030605494"
"940","0.31878807287561706","0.31878807287561706","0.31878807287561706"
"950","0.3194735869264589","0.3194735869264589","0.3194735869264589"
"960","0.31775867697550897","0.31775867697550897","0.31775867697550897"
"970","0.32001540261165295","0.32001540261165295","0.32001540261165295"
"980","0.31874322209583905","0.31874322209583905","0.31874322209583905"
"990","0.31803448093778863","0.31803448093778863","0.31803448093778863"